iter	RMSE
0	4.530847523
1	4.447128704
2	4.360165734
3	4.277617529
4	4.198917341
5	4.132075368
6	4.054243862
7	3.99026709
8	3.913215528
9	3.839949101
10	3.762474021
11	3.698566943
12	3.640367913
13	3.585715498
14	3.52763726
15	3.473230208
16	3.410805385
17	3.356998168
18	3.301517628
19	3.238900237
20	3.17832348
21	3.12681976
22	3.082441073
23	3.027608817
24	2.980544537
25	2.930066062
26	2.886290133
27	2.849777713
28	2.810215772
29	2.770033989
30	2.72724989
31	2.683329641
32	2.642805969
33	2.609277473
34	2.576638394
35	2.531505201
36	2.496516754
37	2.467021731
38	2.43188782
39	2.395491165
40	2.360973206
41	2.330383805
42	2.298894701
43	2.267389185
44	2.24012781
45	2.215107599
46	2.186605139
47	2.160975049
48	2.135192958
49	2.104380999
50	2.081560499
51	2.061076193
52	2.038500815
53	2.016758588
54	1.998961396
55	1.980924779
56	1.957225763
57	1.938948206
58	1.914799515
59	1.892096737
60	1.874632232
61	1.858856659
62	1.838253099
63	1.823190296
64	1.804319868
65	1.787753375
66	1.776322963
67	1.756504703
68	1.744823694
69	1.730164883
70	1.716222315
71	1.699539859
72	1.685171914
73	1.672955409
74	1.663542886
75	1.650063429
76	1.636688693
77	1.627991964
78	1.617739016
79	1.60509546
80	1.593358789
81	1.586757325
82	1.581059451
83	1.569357709
84	1.560762095
85	1.54801091
86	1.538904133
87	1.523514762
88	1.512506675
89	1.506085576
90	1.493456573
91	1.485418648
92	1.477790351
93	1.466288247
94	1.451268065
95	1.44253552
96	1.435897162
97	1.429223146
98	1.42268435
99	1.41499026
100	1.410682844
101	1.402679278
102	1.396825925
103	1.384455373
104	1.377351184
105	1.372116927
106	1.366393259
107	1.359769891
108	1.35213631
109	1.345741249
110	1.339559772
111	1.332418279
112	1.326486446
113	1.322177273
114	1.317009377
115	1.304446388
116	1.300696003
117	1.29571403
118	1.280904665
119	1.276485736
120	1.271741012
121	1.264838848
122	1.258944165
123	1.253248679
124	1.249867882
125	1.245949721
126	1.239318018
127	1.235877895
128	1.231511289
129	1.226767195
130	1.217313657
131	1.210975648
132	1.201130903
133	1.198350666
134	1.194308335
135	1.18719869
136	1.182263027
137	1.179196291
138	1.174479259
139	1.165183191
140	1.15716795
141	1.153165905
142	1.145330661
143	1.141010787
144	1.139137627
145	1.133312586
146	1.130146104
147	1.127831142
148	1.124234253
149	1.119070333
150	1.113844012
151	1.108843584
152	1.104261957
153	1.100824475
154	1.09415455
155	1.090651411
156	1.0864183
157	1.083524668
158	1.074066836
159	1.066332156
160	1.064068655
161	1.058555458
162	1.056580446
163	1.053604279
164	1.046073769
165	1.043460346
166	1.039046804
167	1.033098434
168	1.029968695
169	1.027982958
170	1.026196114
171	1.019943463
172	1.013918581
173	1.009509027
174	1.007797954
175	1.001660336
176	0.9983571459
177	0.995539853
178	0.9912598775
179	0.9880892774
180	0.9828738929
181	0.9808879419
182	0.9784404981
183	0.9747239046
184	0.967563013
185	0.9633270055
186	0.9615645446
187	0.9580646676
188	0.9567033893
189	0.95460752
190	0.9519924293
191	0.9488593237
192	0.9437988688
193	0.9403868741
194	0.9381362774
195	0.9318312338
196	0.9271960615
197	0.9205716536
198	0.9164200806
199	0.9123155231
200	0.9066163862
201	0.9013129751
202	0.8996991174
203	0.8972914092
204	0.893597025
205	0.8912623064
206	0.8880087257
207	0.8843333206
208	0.8812475075
209	0.8792962757
210	0.8731182842
211	0.8714404135
212	0.866974172
213	0.8641290395
214	0.8584165628
215	0.854034772
216	0.8504726632
217	0.8476857542
218	0.8447269566
219	0.8421353551
220	0.8392742236
221	0.8363446251
222	0.8341694792
223	0.8306308164
224	0.8281270455
225	0.8223307265
226	0.8204335917
227	0.8180977522
228	0.8142865743
229	0.8122869565
230	0.8077147443
231	0.8059298877
232	0.8032956103
233	0.8010943913
234	0.7990851236
235	0.7962589071
236	0.7916014887
237	0.7871870934
238	0.7850602825
239	0.7805343524
240	0.7785686161
241	0.776038521
242	0.7741638915
243	0.7682573899
244	0.7640395235
245	0.7607215429
246	0.758379739
247	0.7559914299
248	0.7536740539
249	0.7488836188
250	0.7458804229
251	0.7435595553
252	0.7403367361
253	0.7374573597
254	0.735525497
255	0.7332142954
256	0.7308385185
257	0.7294476019
258	0.7272011592
259	0.7253013995
260	0.72393764
261	0.7228144922
262	0.720758568
263	0.7182966187
264	0.7150779268
265	0.7120213713
266	0.7090941351
267	0.707805184
268	0.7071253574
269	0.7045498103
270	0.7031860716
271	0.7013138551
272	0.7002232449
273	0.6982632157
274	0.6953762204
275	0.6924374233
276	0.6885340229
277	0.6858293972
278	0.6835918543
279	0.6834910233
280	0.6813630713
281	0.6799412614
282	0.6789905142
283	0.6761766061
284	0.6741456024
285	0.674028464
286	0.6721872418
287	0.6703710854
288	0.6686784838
289	0.668579022
290	0.6658625722
291	0.6652324645
292	0.6651218845
293	0.6636676763
294	0.6635573673
295	0.6624202688
296	0.6604049581
297	0.6587687917
298	0.6572773002
299	0.6553566384
300	0.6539549319
301	0.6524553744
302	0.650314245
303	0.647875098
304	0.6458398096
305	0.6457804109
306	0.6456691251
307	0.6455542522
308	0.6430617638
309	0.6403465945
310	0.6382593651
311	0.6365895937
312	0.6349895975
313	0.6329600377
314	0.6312991245
315	0.6297636379
316	0.6275414621
317	0.6260099221
318	0.6250807391
319	0.6218189537
320	0.6193744567
321	0.6184641998
322	0.6169683881
323	0.6157107217
324	0.6156235844
325	0.6143381486
326	0.6128793387
327	0.6117679738
328	0.610798253
329	0.6098432214
330	0.6077580126
331	0.6070752334
332	0.6051353053
333	0.603098044
334	0.6011719618
335	0.5997023053
336	0.5984402755
337	0.5958970968
338	0.5938836112
339	0.5923747137
340	0.5922992875
341	0.5905062048
342	0.5899828792
343	0.5890182385
344	0.5876236509
345	0.585908166
346	0.5839716755
347	0.5827309799
348	0.5802980287
349	0.578100826
350	0.5769955147
351	0.5754265268
352	0.5732694641
353	0.572035436
354	0.5696753962
355	0.5678260524
356	0.5668083969
357	0.565027922
358	0.5649661639
359	0.5643475048
360	0.5642791594
361	0.5622289443
362	0.5608343031
363	0.5598885345
364	0.5581567594
365	0.5577946301
366	0.5560303984
367	0.555963288
368	0.5542581528
369	0.5531858453
370	0.5520464733
371	0.5509137105
372	0.5494120933
373	0.5485965675
374	0.5477337892
375	0.5458152646
376	0.5442508032
377	0.5429918861
378	0.5411532512
379	0.5409751028
380	0.5380165752
381	0.5365283431
382	0.5346412628
383	0.5321946048
384	0.5308186768
385	0.5304110185
386	0.5303168882
387	0.5295190328
388	0.528876916
389	0.52731736
